SalePrice,Overall Qual,Gr Liv Area,Garage Cars,Total Bsmt SF,Year Built,Year Remod/Add,Full Bath,Foundation_PConc,Fireplaces,BsmtFin Type 1_GLQ,Mas Vnr Area,Neighborhood_NridgHt,BsmtFin SF 1
215000,6,1656,2.0,1080.0,1960,1960,1,False,2,False,112.0,False,639.0
105000,5,896,1.0,882.0,1961,1961,1,False,0,False,0.0,False,468.0
172000,6,1329,1.0,1329.0,1958,1958,1,False,0,False,108.0,False,923.0
244000,7,2110,2.0,2110.0,1968,1968,2,False,2,False,0.0,False,1065.0
189900,5,1629,2.0,928.0,1997,1998,2,True,1,True,0.0,False,791.0
195500,6,1604,2.0,926.0,1998,1998,2,True,1,True,20.0,False,602.0
213500,8,1338,2.0,1338.0,2001,2001,2,True,0,True,0.0,False,616.0
191500,8,1280,2.0,1280.0,1992,1992,2,True,0,False,0.0,False,263.0
236500,8,1616,2.0,1595.0,1995,1996,2,True,1,True,0.0,False,1180.0
189000,7,1804,2.0,994.0,1999,1999,2,True,1,False,0.0,False,0.0
175900,6,1655,2.0,763.0,1993,1994,2,True,1,False,0.0,False,0.0
185000,6,1187,2.0,1168.0,1992,2007,2,True,0,False,0.0,False,935.0
180400,6,1465,2.0,789.0,1998,1998,2,True,1,False,0.0,False,0.0
171500,7,1341,2.0,1300.0,1990,1990,1,True,1,True,0.0,False,637.0
212000,8,1502,2.0,1488.0,1985,1985,1,True,0,True,0.0,False,368.0
164000,8,1752,2.0,559.0,1988,2005,2,False,0,True,0.0,False,427.0
394432,9,1856,3.0,1856.0,2010,2010,1,True,1,True,350.0,False,1445.0
141000,4,864,2.0,864.0,1951,1951,1,False,0,False,0.0,False,120.0
210000,6,2073,2.0,1542.0,1978,1988,2,False,2,False,119.0,False,790.0
190000,6,1844,2.0,1844.0,1977,1977,2,False,1,False,480.0,False,705.0
170000,7,1173,2.0,1053.0,1974,1974,2,False,2,True,81.0,False,885.0
216000,7,1674,2.0,814.0,2000,2000,2,True,0,True,0.0,False,533.0
149000,6,1004,2.0,1004.0,1970,1970,1,False,1,False,180.0,False,578.0
149900,5,1078,2.0,1078.0,1971,2008,1,False,1,True,0.0,False,734.0
142000,5,1056,1.0,1056.0,1968,1968,1,False,1,False,0.0,False,775.0
126000,4,882,2.0,882.0,1970,1970,1,False,0,False,0.0,False,804.0
115000,4,864,0.0,864.0,1971,1971,1,False,1,False,0.0,False,432.0
184000,7,1337,2.0,1405.0,1999,1999,2,True,1,True,0.0,False,1051.0
96000,6,987,1.0,483.0,1971,1971,1,False,0,False,504.0,False,156.0
105500,5,1092,1.0,525.0,1971,1971,1,False,0,False,492.0,False,300.0
88000,6,1092,1.0,525.0,1971,1971,1,False,0,False,381.0,False,0.0
127500,6,1069,2.0,1069.0,1977,1977,2,False,1,False,0.0,False,360.0
149900,6,1456,2.0,855.0,1975,1975,2,False,1,False,0.0,False,514.0
120000,7,836,1.0,836.0,1975,1975,1,False,0,False,0.0,False,0.0
146000,6,1456,2.0,855.0,1978,1978,2,False,1,False,0.0,False,311.0
376162,9,2334,3.0,1590.0,2009,2010,2,True,1,False,162.0,True,0.0
306000,8,1704,3.0,1704.0,2007,2008,2,True,1,True,200.0,True,1218.0
395192,9,1940,3.0,1930.0,2009,2010,2,True,1,True,450.0,True,1646.0
290941,8,1544,3.0,1544.0,2009,2010,2,True,0,False,256.0,True,0.0
220000,7,1541,2.0,1541.0,2005,2005,2,True,1,False,226.0,True,1201.0
275000,9,1698,3.0,1698.0,2005,2005,2,True,1,True,615.0,True,110.0
259000,8,1822,3.0,1822.0,2005,2006,2,True,1,True,240.0,True,28.0
214000,7,1535,2.0,1517.0,2004,2004,2,True,0,True,168.0,True,2.0
224000,7,1358,2.0,1358.0,2009,2010,2,True,1,True,128.0,True,733.0
320000,8,2250,3.0,1671.0,2002,2002,2,True,1,True,232.0,True,578.0
319900,9,1752,2.0,1752.0,2005,2005,2,True,1,True,412.0,True,456.0
205000,8,1370,2.0,1370.0,2006,2006,2,True,1,True,178.0,True,24.0
175500,7,1626,2.0,764.0,2003,2003,2,True,0,False,106.0,True,0.0
199500,6,1324,2.0,1324.0,2005,2005,2,True,0,False,0.0,False,0.0
160000,7,1145,2.0,1145.0,2006,2006,2,True,0,True,14.0,False,16.0
192000,8,1269,2.0,1256.0,2004,2005,2,True,1,True,16.0,False,24.0
184500,7,1374,2.0,384.0,2004,2004,2,True,1,True,0.0,False,326.0
216500,6,1960,2.0,860.0,2002,2002,2,True,2,True,0.0,False,625.0
185088,7,1733,2.0,847.0,2004,2004,2,True,1,False,0.0,False,0.0
180000,7,1430,2.0,384.0,2000,2000,2,True,1,True,0.0,False,250.0
222500,7,2035,2.0,884.0,2001,2001,2,True,1,False,180.0,False,0.0
333168,9,2599,3.0,1393.0,1999,1999,2,True,1,False,165.0,False,0.0
355000,8,2475,3.0,1629.0,1998,1998,2,True,1,False,114.0,False,0.0
260400,7,1720,2.0,1720.0,1996,1996,2,True,1,True,338.0,False,919.0
325000,8,2622,2.0,1463.0,1994,1995,2,True,2,True,362.0,False,1032.0
290000,8,2270,3.0,1152.0,1999,2007,2,True,1,True,348.0,False,524.0
221000,7,1839,2.0,1195.0,1998,1998,2,True,0,False,30.0,False,0.0
410000,8,3238,3.0,2033.0,1995,1996,2,True,1,True,579.0,False,816.0
221500,8,1595,3.0,1595.0,2005,2006,2,True,1,False,226.0,False,0.0
204500,7,1218,2.0,1218.0,2009,2010,2,True,0,False,0.0,False,0.0
215200,7,1547,2.0,756.0,2009,2009,2,True,0,True,0.0,False,24.0
262500,8,1566,2.0,1566.0,2008,2008,2,True,0,True,36.0,False,1078.0
254900,7,1947,2.0,991.0,2004,2005,2,True,1,True,0.0,False,222.0
271500,6,1468,2.0,1468.0,2005,2005,2,True,1,True,0.0,False,1414.0
233000,7,2084,2.0,956.0,2004,2004,2,True,0,True,0.0,False,656.0
181000,7,1659,2.0,831.0,2004,2004,2,True,0,False,122.0,False,0.0
205000,7,2110,2.0,948.0,1994,2002,2,True,2,True,0.0,False,695.0
143000,6,923,1.0,923.0,1980,1980,2,False,1,False,0.0,False,543.0
189000,6,1845,2.0,1055.0,1992,1992,2,True,1,False,0.0,False,0.0
99500,6,918,1.0,918.0,1979,1979,2,False,1,False,0.0,False,0.0
125000,6,752,1.0,744.0,1984,1984,1,False,0,False,0.0,False,623.0
194500,7,1744,2.0,996.0,1993,2003,2,True,0,False,0.0,False,402.0
152000,6,1097,2.0,1040.0,1984,1985,2,True,0,True,0.0,False,338.0
171000,6,1564,2.0,650.0,1980,1981,2,False,1,False,130.0,False,0.0
67500,5,1012,1.0,816.0,1920,1950,1,False,0,False,0.0,False,0.0
112000,6,1902,2.0,0.0,1978,1978,2,False,0,False,0.0,False,0.0
148000,5,1155,2.0,1109.0,1961,1995,1,False,0,False,0.0,False,899.0
138500,5,894,1.0,894.0,1965,2009,1,False,1,True,0.0,False,553.0
122000,5,900,1.0,882.0,1967,1967,1,False,0,False,31.0,False,450.0
133000,5,1040,1.0,1040.0,1963,1963,1,False,0,False,0.0,False,824.0
127000,5,1040,1.0,1040.0,1962,2010,1,False,0,False,0.0,False,659.0
169000,6,1494,2.0,1208.0,1974,2002,2,False,2,False,250.0,False,126.0
190000,7,1923,2.0,750.0,1992,1992,2,True,1,True,0.0,False,674.0
362500,8,2349,3.0,1231.0,1993,1993,2,True,1,False,504.0,False,250.0
285000,8,2225,3.0,1390.0,1992,1993,2,True,1,True,180.0,False,1129.0
260000,7,1488,2.0,1488.0,2004,2005,2,True,1,True,0.0,False,1298.0
190000,7,1680,2.0,840.0,2004,2004,2,True,0,False,0.0,False,0.0
155000,7,1200,2.0,600.0,2004,2004,2,True,0,True,120.0,False,280.0
151000,7,1200,2.0,600.0,2004,2005,2,True,0,False,0.0,False,0.0
149500,7,1200,2.0,600.0,2004,2005,2,True,0,True,0.0,False,368.0
152000,6,1236,2.0,600.0,2005,2005,2,True,0,True,216.0,False,376.0
222000,7,1478,2.0,1470.0,2009,2009,2,True,1,True,432.0,False,578.0
177500,6,1573,2.0,756.0,2000,2000,2,True,0,True,216.0,False,378.0
177000,6,1512,2.0,756.0,2000,2000,2,True,0,True,1159.0,False,466.0
155000,7,1416,2.0,696.0,1999,1999,2,True,0,False,0.0,False,604.0
147110,7,1080,2.0,530.0,2003,2003,2,True,0,True,0.0,False,244.0
267916,8,1418,3.0,1642.0,2010,2010,1,True,1,True,0.0,False,1032.0
254000,8,1848,2.0,975.0,2000,2000,2,True,1,True,0.0,False,484.0
155000,8,788,2.0,728.0,1980,1980,1,False,1,True,0.0,False,728.0
206000,8,1226,2.0,1226.0,1978,1978,1,False,1,True,0.0,False,1052.0
130500,6,1479,2.0,725.0,1976,2005,2,False,0,True,289.0,False,533.0
230000,7,1492,2.0,1492.0,2002,2002,2,True,1,True,0.0,False,833.0
218500,6,1829,2.0,1829.0,1967,1967,2,False,0,True,120.0,False,506.0
243500,6,2495,2.0,1280.0,1993,1993,2,True,1,True,0.0,False,1137.0
205000,6,1610,2.0,1610.0,1977,2001,2,True,2,False,28.0,False,1200.0
212500,6,1891,2.0,1224.0,1978,1978,3,True,1,False,0.0,False,687.0
196500,7,1714,2.0,980.0,1988,1988,2,False,1,True,42.0,False,394.0
197500,6,1381,2.0,1161.0,1972,2006,1,False,1,False,0.0,False,982.0
171000,6,1645,2.0,715.0,1971,1971,1,False,0,False,0.0,False,329.0
142250,5,1232,2.0,1232.0,1966,1966,1,False,0,False,172.0,False,698.0
143000,6,1328,2.0,1328.0,1963,1963,1,False,2,False,451.0,False,569.0
128950,4,1225,0.0,950.0,1959,1959,1,False,0,False,0.0,False,569.0
159000,5,1209,2.0,1209.0,1966,1966,1,True,0,False,0.0,False,1059.0
178900,5,1510,2.0,1510.0,1967,1967,2,False,0,False,268.0,False,1010.0
136300,6,1775,2.0,533.0,1964,1964,2,False,0,False,0.0,False,0.0
180500,5,1152,2.0,1152.0,1964,1964,1,True,1,True,86.0,False,1014.0
137500,6,1054,2.0,936.0,1963,1963,1,True,0,True,156.0,False,763.0
84900,5,1728,0.0,1728.0,1962,2001,2,False,0,False,144.0,False,1500.0
142125,5,1078,1.0,1078.0,1950,1996,1,False,0,True,0.0,False,49.0
197600,5,2461,2.0,1140.0,1952,2002,2,False,2,False,265.0,False,670.0
172500,6,1556,2.0,782.0,1949,1950,2,False,1,False,340.0,False,300.0
116500,5,858,0.0,858.0,1958,2008,1,False,0,False,0.0,False,696.0
76500,3,1306,0.0,728.0,1940,1966,1,False,0,False,0.0,False,0.0
128000,5,1063,1.0,1056.0,1954,1954,1,False,0,False,110.0,False,354.0
153000,6,1520,1.0,1156.0,1955,1972,1,False,2,False,164.0,False,674.0
132000,5,1268,1.0,1268.0,1954,1954,1,True,1,False,200.0,False,540.0
178000,6,1128,1.0,1080.0,1966,2008,1,False,1,True,216.0,False,944.0
154300,5,2274,2.0,1105.0,1960,1960,2,False,0,False,361.0,False,443.0
180000,7,2207,2.0,1947.0,1970,1989,2,False,1,True,287.0,False,912.0
190000,6,1888,2.0,1517.0,1966,2002,2,False,1,False,0.0,False,247.0
135000,5,1604,2.0,1604.0,1958,1958,2,False,0,False,0.0,False,0.0
214000,7,1480,2.0,1480.0,2003,2009,2,True,0,True,506.0,False,1188.0
136000,5,1143,1.0,1143.0,1959,1959,1,False,0,False,150.0,False,856.0
165500,5,1700,2.0,1398.0,1959,1959,1,False,1,False,0.0,False,1018.0
145000,5,1314,1.0,1314.0,1957,1957,1,False,0,False,0.0,False,922.0
148000,6,1194,1.0,1194.0,1959,1959,1,False,0,False,220.0,False,0.0
142000,5,1188,2.0,1188.0,1959,1959,1,False,0,False,180.0,False,1000.0
167500,5,1264,2.0,1268.0,1960,1960,1,False,2,False,324.0,False,697.0
108538,5,1206,1.0,1206.0,1959,1959,1,False,0,False,91.0,False,936.0
159500,6,1580,2.0,1244.0,1959,1959,1,False,2,False,432.0,False,734.0
108000,4,1337,1.0,832.0,1956,1956,1,False,0,False,0.0,False,0.0
135000,5,1064,1.0,864.0,1952,1952,1,False,0,False,0.0,False,339.0
122500,5,972,1.0,972.0,1955,1955,1,False,0,False,0.0,False,648.0
119000,5,988,1.0,988.0,1958,1958,1,False,0,False,0.0,False,532.0
