 cibil_score, loan_amount, loan_status
778,29900000,1
417,12200000,0
506,29700000,0
467,30700000,0
382,24200000,0
319,13500000,0
678,33000000,1
382,15000000,0
782,2200000,1
388,4300000,0
547,11200000,1
538,22700000,0
311,11600000,0
679,31500000,1
469,7400000,0
794,10700000,1
663,1600000,1
780,9400000,1
736,10300000,1
652,14600000,1
315,19400000,0
530,14000000,0
311,25700000,0
551,1400000,1
324,9800000,0
514,9500000,0
696,28100000,1
662,5600000,1
336,24000000,0
850,31500000,1
313,25300000,0
363,12000000,0
436,1600000,0
830,22000000,1
612,11900000,1
691,3400000,1
636,6200000,1
348,27200000,0
830,7700000,1
352,5100000,0
712,18100000,1
822,24900000,1
540,3400000,0
342,2300000,0
787,13400000,1
331,27800000,0
679,14600000,1
677,19100000,1
634,20500000,1
662,19100000,1
502,25400000,0
435,24700000,0
689,7600000,1
657,23000000,1
590,19700000,1
818,24500000,1
431,10600000,0
841,30500000,1
421,18400000,0
797,18200000,1
478,18900000,0
669,30500000,1
365,28900000,0
586,7500000,1
784,12300000,1
364,10300000,0
715,29100000,1
693,10100000,0
777,12400000,1
312,5000000,0
340,1500000,0
386,18600000,1
418,18300000,0
735,16700000,1
494,8400000,0
671,6500000,1
697,14800000,1
801,33500000,1
576,29400000,1
639,1400000,1
470,8900000,0
826,31200000,1
363,21200000,0
613,8600000,1
713,8200000,1
439,21200000,0
387,3800000,0
402,28300000,0
837,8000000,1
641,37600000,1
489,21100000,0
540,20700000,0
844,8900000,1
452,6400000,0
366,2000000,0
300,1100000,1
470,15000000,0
861,25000000,1
562,29400000,1
463,10800000,0
478,900000,0
702,1100000,1
618,12900000,1
633,4500000,1
331,23600000,0
841,9700000,1
764,18100000,1
591,10600000,1
719,35900000,1
317,6800000,0
778,1100000,1
302,18200000,0
502,19700000,0
879,22100000,1
437,23400000,0
797,10800000,1
456,23200000,0
647,1600000,1
379,15800000,0
717,32900000,1
545,2300000,0
317,3200000,0
570,32900000,1
865,18700000,1
719,19500000,1
821,600000,1
859,800000,1
395,18200000,0
429,2600000,0
861,1200000,1
565,20800000,1
357,22600000,0
465,3600000,0
479,13900000,0
717,5500000,1
425,5500000,0
786,16700000,1
382,6700000,0
564,8500000,1
501,700000,0
727,9400000,1
894,7500000,1
829,16700000,1
506,17400000,0
802,32100000,1
543,1500000,0
772,3200000,1
572,11100000,1
709,11900000,1
402,6200000,0
481,19300000,0
772,28800000,1
306,20600000,1
415,4500000,0
548,35000000,0
701,11200000,1
890,7700000,1
364,33300000,0
704,1300000,1
318,10600000,0
761,9600000,1
693,15100000,1
524,20600000,0
681,5300000,1
737,22300000,1
638,15900000,1
656,12800000,1
540,6500000,0
341,35200000,0
371,17500000,1
886,10500000,1
801,4100000,1
748,9500000,1
376,28200000,0
371,14300000,0
826,5300000,1
873,27200000,1
309,8600000,0
869,13300000,1
534,13900000,0
787,17900000,1
566,2200000,1
742,9900000,1
824,23100000,1
575,3100000,1
766,10900000,1
888,5000000,1
638,30400000,1
622,23300000,1
458,19800000,0
327,28200000,0
612,6500000,1
682,2900000,1
583,13200000,1
697,18300000,1
306,27100000,0
669,1500000,1
816,6000000,1
455,28900000,0
318,16400000,0
355,21200000,0
389,8900000,0
888,1500000,1
352,15600000,0
870,30100000,1
827,6500000,1
768,20900000,1
707,15400000,1
